code,name,personnel_amount,other_recurrent_amount,total_recurrent_amount,capital_amount,total_budget_amount,source
052100100100,Ministry of Health,3213024000.00,1338073846.98,4551097846.98,40570755456.78,45121853303.76,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100300100,H.M.B. ( HQ and Zones),31750191000.00,2474131000.00,34224322000.00,1247855750.00,35472177750.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),0,685949000.00,685949000.00,729004824.60,1414953824.60,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400100,College of Nursing & Mid-Wifery Board,0,140355000.00,140355000.00,0,140355000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400200,School of Nursing Kano,0,12520000.00,12520000.00,0,12520000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400300,School of Basic Mid Wifery Kano,0,25620000.00,25620000.00,0,25620000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400400,School of Basic Mid Wifery Dambatta,0,22100000.00,22100000.00,0,22100000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400500,School of Post Basic Mid Wifery Gezawa,0,12920000.00,12920000.00,0,12920000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400600,School of Nursing Madobi,0,34300000.00,34300000.00,0,34300000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400700,School of Post Basic Anesthesia,0,13750000.00,13750000.00,0,13750000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100400800,School of Basic Mid Wifery Gwarzo,0,25620000.00,25620000.00,0,25620000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,1723600000.00,2387112000.00,9322148945.55,11709260945.55,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100600100,State Agency for Control of Aids,0,24000000.00,24000000.00,1012077183.00,1036077183.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100800100,CONTRIBUTORY HEALTH MGT,0,1353600000.00,1353600000.00,7192820180.48,8546420180.48,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052100900100,KHETFUND,0,139000000.00,139000000.00,3950279000.00,4089279000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,0,43288000.00,43288000.00,0,43288000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052101100100,Private Health Institutions Management Agency,0,58500000.00,58500000.00,162469250.00,220969250.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052101300100,Drugs Management & Consumable Supply Agency (Drugs Management,0,128240000.00,128240000.00,1524710539.57,1652950539.57,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052101400100,Kano State Centre For Disesase Control & Prevention -,0,24000000.00,24000000.00,0,24000000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052102000100,School of Hygiene,0,6250000.00,6250000.00,0,6250000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052103000100,School of Health Technology Bebeji,0,25238000.00,25238000.00,0,25238000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
052104000100,School Health Technology Kano,0,101500000.00,101500000.00,0,101500000.00,"Kano State 2025 Q4 BIR, administrative classification, PDF pages 18/21/25/28"
