quarter,period_end,code,name,category,amount,pdf_page,proposed_reference
1,2025-03-31,052100100100,Ministry of Health,capital,200687195.11,28,KSBIR25-Q1-052100100100-CAP
1,2025-03-31,052100100100,Ministry of Health,overhead,481478896.49,25,KSBIR25-Q1-052100100100-OVE
1,2025-03-31,052100100100,Ministry of Health,personnel,408046171.38,21,KSBIR25-Q1-052100100100-PER
1,2025-03-31,052100300100,H.M.B. ( HQ and Zones),personnel,5983782195.65,21,KSBIR25-Q1-052100300100-PER
1,2025-03-31,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),capital,43825000.00,28,KSBIR25-Q1-052100300200-CAP
1,2025-03-31,052100400200,School of Nursing Kano,overhead,500000.00,25,KSBIR25-Q1-052100400200-OVE
1,2025-03-31,052100400500,School of Post Basic Mid Wifery Gezawa,overhead,200000.00,25,KSBIR25-Q1-052100400500-OVE
1,2025-03-31,052100400700,School of Post Basic Anesthesia,overhead,200000.00,25,KSBIR25-Q1-052100400700-OVE
1,2025-03-31,052100400800,School of Basic Mid Wifery Gwarzo,overhead,200000.00,25,KSBIR25-Q1-052100400800-OVE
1,2025-03-31,052100500100,Primary Health Care Mgt. Board (PHCMB),capital,72452493.72,28,KSBIR25-Q1-052100500100-CAP
1,2025-03-31,052100500100,Primary Health Care Mgt. Board (PHCMB),personnel,99120135.29,21,KSBIR25-Q1-052100500100-PER
2,2025-06-30,052100100100,Ministry of Health,capital,2106083801.64,30,KSBIR25-Q2-052100100100-CAP
2,2025-06-30,052100100100,Ministry of Health,overhead,266180910.00,27,KSBIR25-Q2-052100100100-OVE
2,2025-06-30,052100100100,Ministry of Health,personnel,398598012.21,23,KSBIR25-Q2-052100100100-PER
2,2025-06-30,052100300100,H.M.B. ( HQ and Zones),capital,608019886.00,30,KSBIR25-Q2-052100300100-CAP
2,2025-06-30,052100300100,H.M.B. ( HQ and Zones),overhead,3000000.00,27,KSBIR25-Q2-052100300100-OVE
2,2025-06-30,052100300100,H.M.B. ( HQ and Zones),personnel,5966285019.75,23,KSBIR25-Q2-052100300100-PER
2,2025-06-30,052100400100,College of Nursing & Mid-Wifery Board,overhead,2500000.00,27,KSBIR25-Q2-052100400100-OVE
2,2025-06-30,052100400200,School of Nursing Kano,overhead,1500000.00,27,KSBIR25-Q2-052100400200-OVE
2,2025-06-30,052100400300,School of Basic Mid Wifery Kano,overhead,1500000.00,27,KSBIR25-Q2-052100400300-OVE
2,2025-06-30,052100400400,School of Basic Mid Wifery Dambatta,overhead,1500000.00,27,KSBIR25-Q2-052100400400-OVE
2,2025-06-30,052100400500,School of Post Basic Mid Wifery Gezawa,overhead,1500000.00,27,KSBIR25-Q2-052100400500-OVE
2,2025-06-30,052100400600,School of Nursing Madobi,overhead,1500000.00,27,KSBIR25-Q2-052100400600-OVE
2,2025-06-30,052100400700,School of Post Basic Anesthesia,overhead,1500000.00,27,KSBIR25-Q2-052100400700-OVE
