quarter,pdf_page,table_row,category,code,name,original_budget,final_budget,quarter_performance,ytd_performance,balance
1,17,,total,052100000000,Ministry of Health,109263061129.98,109263061129.98,7290492087.64,7290492087.64,101972569042.34
1,17,,total,052100100100,Ministry of Health,44754511456.78,44754511456.78,1090212262.98,1090212262.98,43664299193.80
1,17,,total,052100300100,H.M.B. ( HQ and Zones),35472177750.00,35472177750.00,5983782195.65,5983782195.65,29488395554.35
1,17,,total,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),1414953824.60,1414953824.60,43825000.00,43825000.00,1371128824.60
1,17,,total,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,0,0,140355000.00
1,17,,total,052100400200,School of Nursing Kano,12520000.00,12520000.00,500000.00,500000.00,12020000.00
1,17,,total,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,0,0,25620000.00
1,17,,total,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,0,0,22100000.00
1,17,,total,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,200000.00,200000.00,12720000.00
1,17,,total,052100400600,School of Nursing Madobi,34300000.00,34300000.00,0,0,34300000.00
1,17,,total,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,200000.00,200000.00,13550000.00
1,17,,total,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,200000.00,200000.00,25420000.00
1,17,,total,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,0,0,43288000.00
1,17,,total,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
1,17,,total,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,0,0,25238000.00
1,17,,total,052104000100,School Health Technology Kano,101500000.00,101500000.00,0,0,101500000.00
1,17,,total,052100500100,Primary Health Care Mgt. Board (PHCMB),11409260945.55,11409260945.55,171572629.01,171572629.01,11237688316.54
1,17,,total,052100600100,State Agency for Control of Aids,1036077183.00,1036077183.00,0,0,1036077183.00
1,17,,total,052100800100,CONTRIBUTORY HEALTH MGT,8749420180.48,8749420180.48,0,0,8749420180.48
1,17,,total,052100900100,KHETFUND,4089279000.00,4089279000.00,0,0,4089279000.00
1,17,,total,052101100100,Private Health Institutions Management Agency,220969250.00,220969250.00,0,0,220969250.00
1,17,,total,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1652950539.57,1652950539.57,0,0,1652950539.57
1,21,,personnel,052100000000,Ministry of Health,35626727000.00,35626727000.00,6490948502.32,6490948502.32,29135778497.68
1,21,,personnel,052100100100,Ministry of Health,3213024000.00,3213024000.00,408046171.38,408046171.38,2804977828.62
1,21,,personnel,052100300100,H.M.B. ( HQ and Zones),31750191000.00,31750191000.00,5983782195.65,5983782195.65,25766408804.35
1,21,,personnel,052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,663512000.00,99120135.29,99120135.29,564391864.71
1,25,,overhead,052100000000,Ministry of Health,7924213000.00,7924213000.00,482578896.49,482578896.49,7441634103.51
1,25,,overhead,052100100100,Ministry of Health,1270732000.00,1270732000.00,481478896.49,481478896.49,789253103.51
1,25,,overhead,052100300100,H.M.B. ( HQ and Zones),2474131000.00,2474131000.00,0,0,2474131000.00
1,25,,overhead,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),685949000.00,685949000.00,0,0,685949000.00
1,25,,overhead,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,0,0,140355000.00
1,25,,overhead,052100400200,School of Nursing Kano,12520000.00,12520000.00,500000.00,500000.00,12020000.00
1,25,,overhead,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,0,0,25620000.00
1,25,,overhead,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,0,0,22100000.00
1,25,,overhead,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,200000.00,200000.00,12720000.00
1,25,,overhead,052100400600,School of Nursing Madobi,34300000.00,34300000.00,0,0,34300000.00
1,25,,overhead,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,200000.00,200000.00,13550000.00
1,25,,overhead,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,200000.00,200000.00,25420000.00
1,25,,overhead,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,0,0,43288000.00
1,25,,overhead,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
1,25,,overhead,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,0,0,25238000.00
1,25,,overhead,052104000100,School Health Technology Kano,101500000.00,101500000.00,0,0,101500000.00
1,25,,overhead,052100500100,Primary Health Care Mgt. Board (PHCMB),1723600000.00,1723600000.00,0,0,1723600000.00
1,25,,overhead,052100600100,State Agency for Control of Aids,24000000.00,24000000.00,0,0,24000000.00
1,25,,overhead,052100800100,CONTRIBUTORY HEALTH MGT,956600000.00,956600000.00,0,0,956600000.00
1,25,,overhead,052100900100,KHETFUND,139000000.00,139000000.00,0,0,139000000.00
1,25,,overhead,052101100100,Private Health Institutions Management Agency,58500000.00,58500000.00,0,0,58500000.00
1,25,,overhead,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),128240000.00,128240000.00,0,0,128240000.00
1,28,,capital,052100000000,Ministry of Health,65712121129.98,65712121129.98,316964688.83,316964688.83,65395156441.15
1,28,,capital,052100100100,Ministry of Health,40270755456.78,40270755456.78,200687195.11,200687195.11,40070068261.67
1,28,,capital,052100300100,H.M.B. ( HQ and Zones),1247855750.00,1247855750.00,0,0,1247855750.00
1,28,,capital,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),729004824.60,729004824.60,43825000.00,43825000.00,685179824.60
1,28,,capital,052100500100,Primary Health Care Mgt. Board (PHCMB),9022148945.55,9022148945.55,72452493.72,72452493.72,8949696451.83
1,28,,capital,052100600100,State Agency for Control of Aids,1012077183.00,1012077183.00,0,0,1012077183.00
1,28,,capital,052100800100,CONTRIBUTORY HEALTH MGT,7792820180.48,7792820180.48,0,0,7792820180.48
1,28,,capital,052100900100,KHETFUND,3950279000.00,3950279000.00,0,0,3950279000.00
1,28,,capital,052101100100,Private Health Institutions Management Agency,162469250.00,162469250.00,0,0,162469250.00
1,28,,capital,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1524710539.57,1524710539.57,0,0,1524710539.57
2,20,,total,052100000000,Ministry of Health,109263061129.98,109263061129.98,9482367812.69,16772859900.32,92490201229.66
2,20,,total,052100100100,Ministry of Health,44754511456.78,44754511456.78,2770862723.85,3861074986.83,40893436469.95
2,20,,total,052100300100,H.M.B. ( HQ and Zones),35472177750.00,35472177750.00,6577304905.75,12561087101.40,22911090648.60
2,20,,total,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),1414953824.60,1414953824.60,0,43825000.00,1371128824.60
2,20,,total,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,2500000.00,2500000.00,137855000.00
2,20,,total,052100400200,School of Nursing Kano,12520000.00,12520000.00,1500000.00,2000000.00,10520000.00
2,20,,total,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,1500000.00,1500000.00,24120000.00
2,20,,total,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,1500000.00,1500000.00,20600000.00
2,20,,total,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,1500000.00,1700000.00,11220000.00
2,20,,total,052100400600,School of Nursing Madobi,34300000.00,34300000.00,1500000.00,1500000.00,32800000.00
2,20,,total,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,1500000.00,1700000.00,12050000.00
2,20,,total,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,1500000.00,1700000.00,23920000.00
2,20,,total,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,900000.00,900000.00,42388000.00
2,20,,total,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
2,20,,total,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,2400000.00,2400000.00,22838000.00
2,20,,total,052104000100,School Health Technology Kano,101500000.00,101500000.00,1500000.00,1500000.00,100000000.00
2,20,,total,052100500100,Primary Health Care Mgt. Board (PHCMB),11409260945.55,11409260945.55,112500183.08,284072812.10,11125188133.45
2,20,,total,052100600100,State Agency for Control of Aids,1036077183.00,1036077183.00,1500000.00,1500000.00,1034577183.00
2,20,,total,052100800100,CONTRIBUTORY HEALTH MGT,8749420180.48,8749420180.48,0,0,8749420180.48
2,20,,total,052100900100,KHETFUND,4089279000.00,4089279000.00,0,0,4089279000.00
2,20,,total,052101100100,Private Health Institutions Management Agency,220969250.00,220969250.00,1500000.00,1500000.00,219469250.00
2,20,,total,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1652950539.57,1652950539.57,900000.00,900000.00,1652050539.57
2,23,,personnel,052100000000,Ministry of Health,35626727000.00,35626727000.00,6474383215.05,12965331717.36,22661395282.64
2,23,,personnel,052100100100,Ministry of Health,3213024000.00,3213024000.00,398598012.21,806644183.59,2406379816.41
2,23,,personnel,052100300100,H.M.B. ( HQ and Zones),31750191000.00,31750191000.00,5966285019.75,11950067215.40,19800123784.60
2,23,,personnel,052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,663512000.00,109500183.08,208620318.38,454891681.62
2,30,,capital,052100000000,Ministry of Health,65712121129.98,65712121129.98,2714103687.64,3031068376.47,62681052753.51
2,30,,capital,052100100100,Ministry of Health,40270755456.78,40270755456.78,2106083801.64,2306770996.75,37963984460.03
